"0","Amministrazione generale"
"01","Legislativo ed Esecutivo"
"011","Legislativo"
"012","Esecutivo"
"02","Servizi generali"
"021","Amministrazione delle finanze e delle contribuzioni"
"022","Servizi generali, altro"
"023","Meteorologia e Topografia nazionale"
"029","Immobili amministrativi, non menzionati altrove (n. m. a.)"
"03","Relazioni con l’estero"
"031","Relazioni politiche"
"032","Gestione civile dei conflitti"
"033","Relazioni economiche"
"034","Cooperazione allo sviluppo"
"035","Paesi in transizione, Aiuto ai Paesi dell’Est"
"08","R&S nell’Amministrazione generale"
"080","R&S nell’Amministrazione generale"
"1","Ordine e sicurezza pubblici, difesa"
"11","Sicurezza pubblica"
"111","Polizia"
"112","Sicurezza stradale"
"113","Ufficio della circolazione stradale e della navigazione"
"12","Giurisprudenza"
"120","Giurisprudenza"
"13","Esecuzione delle pene"
"130","Esecuzione delle pene"
"14","Diritto generale"
"140","Diritto generale"
"15","Vigili del fuoco"
"150","Vigili del fuoco"
"16","Difesa"
"161","Difesa militare"
"162","Difesa civile"
"163","Aiuto militare all’estero, promovimento della pace"
"18","R&S ordine pubblico e sicurezza, difesa"
"181","R&S ordine pubblico e sicurezza"
"182","R&S difesa"
"2","Formazione"
"21","Scuola dell’obbligo"
"211","Scuola dell’infanzia"
"212","Livello primario"
"213","Livello secondario I "
"214","Scuole di musica"
"217","Edifici scolastici"
"218","Custodia diurna"
"219","Scuola dell’obbligo, n. m. a."
"22","Scuole speciali"
"220","Scuole speciali"
"23","Formazione professionale di base"
"230","Formazione professionale di base"
"25","Scuole di formazione generale"
"251","Scuole di maturità liceale"
"252","Scuole specializzate e altre scuole di formazione generale"
"26","Formazione professionale superiore"
"260","Formazione professionale superiore"
"27","Università"
"271","Scuole universitarie"
"272","Alte scuole pedagogiche"
"273","Scuole universitarie professionali"
"28","Ricerca"
"281","Ricerca fondamentale"
"282","R&S formazione"
"29","Rimanente settore della formazione"
"291","Amministrazione"
"299","Formazione, n. m. a."
"3","Cultura, sport e tempo libero, chiesa"
"31","Patrimonio culturale"
"311","Musei e arti figurative"
"312","Protezione del paesaggio e conservazione dei monumenti storici"
"32","Cultura, altro"
"321","Biblioteche e letteratura"
"322","Concerti Musica e teatri"
"329","Cultura, n. m. a."
"33","Media"
"331","Film e cinema"
"332","Mass media"
"34","Sport e tempo libero"
"341","Sport"
"342","Tempo libero"
"35","Chiese e affari religiosi"
"350","Chiese e affari religiosi"
"38","R&S cultura, sport e tempo libero, Chiesa"
"381","R&S cultura e media"
"382","R&S sport e tempo libero, Chiesa"
"4","Sanità"
"41","Ospedali e case di cura"
"411","Ospedali"
"412","Case medicalizzate, di riposo e di cura"
"413","Cliniche psichiatriche"
"42","Cure ambulatoriali"
"421","Cure ambulatoriali"
"422","Servizi di salvataggio"
"43","Prevenzione della salute"
"431","Prevenzione di alcool e di droghe"
"432","Lotta contro le malattie, altro"
"433","Servizio medico scolastico"
"434","Controllo delle derrate alimentari"
"48","R&S sanità"
"480","R&S sanità"
"49","Sanità, n. m. a."
"490","Sanità, n. m. a."
"5","Sicurezza sociale"
"51","Malattia e infortunio"
"511","Assicurazione malattie"
"512","Riduzioni dei premi"
"513","Assicurazione contro gli infortuni"
"514","Assicurazione militare"
"52","Invalidità"
"521","Assicurazione per l’invalidità"
"522","Prestazioni complementari all’AI"
"523","Case per invalidi"
"524","Prestazioni per invalidi"
"53","Vecchiaia + Superstiti"
"531","Assicurazione per la vecchiaia e per i superstiti AVS"
"532","Prestazioni complementari all’AVS"
"533","Prestazioni per pensionati"
"534","Alloggi per pensionati (senza cure) "
"535","Prestazioni di vecchiaia"
"54","Famiglia e gioventù"
"541","Assegni familiari"
"542","Assicurazione per la maternità"
"543","Anticipo e incasso di pensioni alimentari"
"544","Protezione dei giovani"
"545","Prestazioni a famiglie"
"55","Disoccupazione"
"551","Assicurazione contro la disoccupazione"
"552","Prestazioni a disoccupati"
"559","Disoccupazione, n. m. a."
"56","Costruzione di abitazioni sociali"
"560","Costruzione di abitazioni sociali"
"57","Aiuto sociale e settore dell’asilo"
"571","Aiuti"
"572","Aiuto economico"
"573","Settore dell’asilo"
"579","Assistenza, n. m. a."
"58","R&S previdenza sociale"
"580","R&S previdenza sociale"
"59","Previdenza sociale, n. m. a."
"591","Indennità per perdita di guadagno IPG"
"592","Azioni d’aiuto in Svizzera"
"593","Azioni d’aiuto all’estero"
"6","Trasporti e comunicazioni"
"61","Circolazione stradale"
"611","Strade nazionali"
"612","Strade principali secondo il diritto federale"
"613","Strade cantonali, altro"
"615","Strade comunali"
"618","Strade private"
"619","Strade, n. m. a."
"62","Trasporti pubblici"
"621","Infrastruttura ferroviaria trasporti pubblici"
"622","Traffico regionale e d’agglomerato"
"623","Traffico d’agglomerato"
"629","Trasporti pubblici, n. m. a."
"63","Trasporti, altro"
"631","Navigazione"
"632","Aviazione e astronautica"
"633","Altri sistemi di trasporto"
"634","Pianificazione generale del traffico"
"64","Comunicazioni"
"640","Comunicazioni"
"68","R&S trasporti e comunicazioni"
"681","R&S trasporti"
"682","R&S comunicazioni"
"7","Protezione dell’ambiente e assetto del territorio"
"71","Approvvigionamento idrico"
"710","Approvvigionamento idrico"
"72","Eliminazione delle acque di scarico"
"720","Eliminazione delle acque di scarico"
"73","Gestione dei rifiuti"
"730","Gestione dei rifiuti"
"74","Ripari"
"741","Opere di sistemazione dei corsi d’acqua"
"742","Ripari antivalangheOpere di protezione, altre"
"75","Protezione delle specie e del paesaggio"
"750","Protezione delle specie e del paesaggio"
"76","Lotta contro l’inquinamento ambientale"
"761","Protezione dell’aria e del clima"
"769","Altri tipi di lotta contro l’inquinamento ambientale"
"77","Altri tipi di protezione dell’ambiente"
"771","Cimitero e sepoltura"
"779","Protezione dell’ambiente, n. m. a."
"78","R&S protezione dell’ambiente "
"781","R&S ambiente"
"782","R&S assetto del territorio"
"79","Assetto del territorio"
"790","Assetto del territorio"
"8","Economia nazionale"
"81","Agricoltura"
"811","Amministrazione, esecuzione e controllo"
"812","Miglioramenti strutturali"
"813","Miglioramenti della produzione animale"
"814","Miglioramenti della produzione vegetale"
"815","Misure economiche"
"816","Pagamenti diretti"
"817","Misure sociali"
"818","Economia alpestre"
"82","Silvicoltura"
"820","Silvicoltura"
"83","Caccia e pesca"
"830","Caccia e pesca"
"84","Turismo"
"840","Turismo"
"85","Industria, artigianato e commercio"
"850","Industria, artigianato e commercio"
"86","Banche e assicurazioni"
"860","Banche e assicurazioni"
"87","Combustibili ed energia"
"871","Elettricità"
"872","Petrolio e gas"
"873","Energia non elettrica"
"879","Energia, n. m. a."
"88","R&S economia nazionale"
"881","R&S agricoltura"
"882","R&S silvicoltura, caccia e pesca"
"883","R&S combustibili ed energia"
"884","R&S in altre attività di economia nazionale"
"89","Altre aziende artigianali"
"890","Altre aziende artigianali"
"9","Finanze e imposte"
"91","Imposte"
"910","Imposte"
"92","Convenzioni fiscali"
"920","Convenzioni fiscali"
"93","Perequazione finanziaria e compensazione degli oneri"
"930","Perequazione finanziaria e compensazione degli oneri"
"94","Partecipazioni a entrate della Confederazione"
"940","Partecipazioni a entrate della Confederazione senza destinazione vincolata"
"95","Partecipazioni, altro"
"950","Partecipazioni, altro, senza destinazione vincolata"
"96","Gestione del patrimonio e del debito"
"961","Interessi"
"962","Costi di emissione"
"963","Immobili dei beni patrimoniali"
"969","Beni patrimoniali, n. m. a."
"97","Ridistribuzioni"
"971","Ridistribuzioni tassa sul CO2"
"99","Voci non ripartite"
"990","Voci non ripartite"
"995","Spese e ricavi neutri"
"999","Chiusura"