id,municipality,2012_factor,2012_index,2013_factor,2013_index,2014_factor,2014_index,2015_factor,2015_index,2016_factor,2016_index,2017_factor,2017_index
2,Bellwald,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%
3,"Grafschaft (Biel, Ritzingen, Selkingen / 01.10.2000)",1.20,160%,1.20,160%,1.10,170%,1.10,170%,1.10,170%,,
4,Binn,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
5,Blitzingen,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,,
6,"Ernen (Ausserbinn, Ernen, Mühlebach, Steinhaus /01.10.2004)",1.25,150%,1.25,150%,1.20,150%,1.20,150%,1.20,150%,1.15,150%
7,Fiesch,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%
8,Fieschertal,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,170%
11,Lax,1.30,160%,1.30,160%,1.30,160%,1.40,160%,1.40,160%,1.40,160%
13,"Goms (Blitzungen, Grafschaft, Münster-Geschinen, Niederwald,Reckingen-Gluringen / 01.01.2017)",1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.10,170%
13,Münster-Geschinen,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.10,170%
14,Niederwald,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,,
15,Obergoms (Obergesteln-Oberwald-Ulrichen /01.01.2009),1.20,160%,1.20,160%,1.15,160%,1.15,160%,1.10,170%,1.10,170%
17,"Reckingen-Gluringen (Reckingen, Gluringen/01.10.2004)",1.30,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,,
22,Bettmeralp (Betten-Martisberg / 01.01.2014),1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%
23,Bister,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
24,Bitsch,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
28,Grengiols,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
29,Martisberg,1.10,160%,1.10,160%,,,,,,,,
30,Mörel-Filet (01.01.2009),1.15,140%,1.15,140%,1.15,140%,1.15,140%,1.15,140%,1.15,140%
31,"Riederalp (Greich, Goppisberg, Ried-Mörel / 01.11.2003)",1.30,130%,1.30,135%,1.30,135%,1.30,135%,1.30,135%,1.30,135%
32,Birgisch,1.20,170%,,,,,,,,,,
33,Brig/Glis,1.10,170%,1.10,170%,1.05,170%,1.05,170%,1.05,170%,1.05,170%
35,Eggerberg,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%
37,Mund,1.40,130%,,,,,,,,,,
38,"Naters (Birgisch, Mund, Naters / 1.1.2013)",1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
39,Ried-Brig,1.10,140%,1.10,140%,1.10,140%,1.10,140%,1.10,140%,1.10,150%
40,Simplon,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
41,Termen,1.20,160%,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%
42,Zwischbergen,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
43,Baltschieder,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
44,Eisten,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
45,Embd,1.30,135%,1.30,135%,1.30,135%,1.30,135%,1.30,135%,1.30,135%
47,Grächen,1.40,125%,1.40,125%,1.40,125%,1.40,125%,1.40,125%,1.40,125%
48,Lalden,1.00,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
49,Randa,1.10,160%,1.10,160%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
50,Saas-Almagell,1.40,120%,1.35,120%,1.35,120%,1.35,120%,1.35,120%,1.35,120%
51,Saas-Balen,1.40,135%,1.40,140%,1.30,140%,1.30,140%,1.30,140%,1.25,140%
52,Saas-Fee,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%
53,Saas-Grund,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%,1.30,120%
54,St. Niklaus,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%
55,Stalden,1.10,165%,1.10,165%,1.10,165%,1.10,165%,1.10,165%,1.10,165%
56,Staldenried,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
57,Täsch,1.20,145%,1.30,145%,1.30,145%,1.30,145%,1.40,145%,1.40,145%
58,Törbel,1.40,170%,1.40,170%,1.40,170%,1.40,170%,1.40,170%,1.40,170%
59,Visp,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%
60,Visperterminen,1.30,135%,1.30,135%,1.30,135%,1.30,135%,1.30,135%,1.30,135%
61,Zeneggen,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%
62,Zermatt,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
63,Ausserberg,1.40,135%,1.40,135%,1.40,135%,1.40,135%,1.40,135%,1.40,135%
64,Blatten,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%
65,Bürchen,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
66,Eischoll,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
67,Ferden,1.40,125%,1.40,125%,1.40,125%,1.40,125%,1.40,125%,1.40,145%
69,Kippel,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%
70,Niedergesteln,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
71,Raron,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
72,Steg-Hohtenn (01.01.2009),1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%
73,Unterbäch,1.20,135%,1.20,135%,1.20,135%,1.20,135%,1.20,135%,1.20,135%
74,Wiler,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%
75,Agarn,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
76,Albinen,1.30,120%,1.30,130%,1.30,130%,1.30,130%,1.30,140%,1.30,140%
78,Ergisch,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
79,Erschmatt,1.30,140%,,,,,,,,,,
81,Gampel-Bratsch (01.01.2009),1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%
82,Guttet-Feschel (01.10.2000),1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
83,Inden,1.30,130%,1.30,130%,1.30,130%,1.30,130%,1.10,130%,1.10,130%
84,"Leuk (Erschmatt, Leuk / 1.1.2013)",1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
85,Leukerbad,1.50,145%,1.50,145%,1.50,145%,1.50,145%,1.50,145%,1.50,145%
86,Oberems,1.20,160%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
87,Salgesch,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.20,130%
88,Turtmann - Unterems (1.1.2013),1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
89,Unterems,1.30,155%,,,,,,,,,,
90,Varen,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
92,Chalais,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
94,Chermignon,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%,,
95,Chippis,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
98,Grône,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%
99,Icogne,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.20,170%
100,Lens,1.20,170%,1.20,170%,1.20,170%,1.20,170%,1.15,170%,1.15,170%
101,Miège,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%,1.25,130%
102,Mollens,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,,
103,Montana,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,,
104,"Crans-Montana (Chermignon, Montana, Randogne Mollens / 01.01.2017)",1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,170%
104,Randogne,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,170%
106,St-Léonard,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
108,Sierre,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%
109,Venthône,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%
110,Veyras,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
111,Anniviers (Ayer-Chandolin-Grimentz-St-Jean-St-Luc-Vissoie / 1.1.2009),1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
112,Agettes,1.40,130%,1.40,130%,1.40,130%,1.40,130%,1.40,130%,,
113,Ayent,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%
114,Evolène,1.30,125%,1.30,125%,1.30,125%,1.30,125%,1.30,125%,1.30,125%
115,Hérémence,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
117,Mont-Noble (Nax - Mase - Vernamiège / 1.1.2011),1.35,140%,1.35,140%,1.35,140%,1.35,140%,1.35,140%,1.35,140%
118,St-Martin,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%,1.40,140%
120,Vex,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%
121,Arbaz,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
122,Grimisuat,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
123,Salins,1.40,120%,,,,,,,,,,
124,Savièse,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%,1.15,150%
125,"Sion (Salins, Sion / 1.1.2013 - Agettes / 01.01.2017)",1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%,1.10,170%
126,Veysonnaz,1.20,110%,1.20,110%,1.20,110%,1.20,110%,1.20,110%,1.20,110%
127,Ardon,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%,1.30,160%
128,Chamoson,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%,1.25,135%
129,Conthey,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
130,Nendaz,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%,1.30,140%
131,Vétroz,1.15,160%,1.15,160%,1.15,160%,1.15,160%,1.15,160%,1.15,160%
132,Bovernier,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
133,Charrat,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
134,Fully,1.30,155%,1.30,155%,1.30,155%,1.30,155%,1.30,155%,1.30,155%
135,Isérables,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%
136,Leytron,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
137,Martigny-Combe,1.00,160%,1.00,160%,1.00,160%,1.00,160%,1.00,160%,1.00,160%
138,Martigny,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%
139,Riddes,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%
140,Saillon,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
141,Saxon,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
142,Trient,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
143,Bagnes,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
144,Bourg-St-Pierre,1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%
145,Liddes,1.15,140%,1.15,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
146,Orsières,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
147,Sembrancher,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.30,145%
148,Vollèges,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%
149,Collonges,1.10,155%,1.10,155%,1.10,155%,1.10,155%,1.10,155%,1.10,155%
150,Dorénaz,1.20,140%,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%
151,Evionnaz,1.20,170%,1.20,170%,1.20,170%,1.30,170%,1.30,170%,1.30,170%
152,Finhaut,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
153,Massongex,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,150%
154,Mex,1.10,130%,,,,,,,,,,
155,"St-Maurice (Mex, St-Maurice / 1.1.2013)",1.25,160%,1.25,160%,1.25,160%,1.25,160%,1.25,160%,1.25,160%
156,Salvan,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
157,Vernayaz,1.20,150%,1.20,150%,1.20,150%,1.20,155%,1.20,155%,1.20,155%
158,Vérossaz,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
159,Champéry,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%
160,Collombey-Muraz,1.25,165%,1.25,165%,1.25,165%,1.25,165%,1.25,165%,1.25,165%
161,Monthey,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
162,Port-Valais,1.15,160%,1.15,165%,1.15,165%,1.15,170%,1.15,170%,1.15,170%
163,St-Gingolph,1.35,125%,1.35,125%,1.35,125%,1.35,125%,1.35,125%,1.35,125%
164,Troistorrents,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
165,Val d'Illiez,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%
166,Vionnaz,1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%
167,Vouvry,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%